size	GPMeta	Bowtie2	Bwa
1.28M	0.998421	0.998185	0.999995
1.28M	0.998366	0.998237	1
1.28M	0.998394	0.99823	0.999996
1.28M	0.99836	0.998135	0.999995
1.28M	0.998378	0.998231	0.999995
12.8M	0.9983681	0.9981701	0.9999973
12.8M	0.9983732	0.9981798	0.9999956
12.8M	0.9983645	0.9981643	0.9999965
12.8M	0.9983727	0.9981645	0.9999962
12.8M	0.9983509	0.9981689	0.9999961
25.6M	0.99836175	0.99815845	0.99999695
25.6M	0.9983737	0.9981649	0.9999968
25.6M	0.99836185	0.9981633	0.9999959
25.6M	0.9983811	0.99816385	0.9999962
25.6M	0.99836865	0.998162	0.9999966
111.8M	0.99836603	0.99816021	0.99999666
111.8M	0.99836837	0.99816819	0.99999636
111.8M	0.9983656	0.99816455	0.99999678
111.8M	0.99836896	0.99816558	0.99999674
111.8M	0.9983696	0.99815818	0.99999633
