size	GPMeta	Bowtie2	Bwa
1.28M	0	0	7.85714E-05
1.28M	0	0	0.00005
1.28M	0	0	0.00005
1.28M	0	0	8.57143E-05
1.28M	0	0	5.35714E-05
12.8M	0	0	6.89286E-05
12.8M	7.14286E-07	0	0.000065
12.8M	3.57143E-07	0	6.42857E-05
12.8M	7.14286E-07	0	6.39286E-05
12.8M	1.07143E-06	0	6.96429E-05
25.6M	9.82143E-06	5.35714E-06	0.00008125
25.6M	0.00001	5.35714E-06	0.0000825
25.6M	0.00001	5.35714E-06	8.08929E-05
25.6M	9.46429E-06	5.35714E-06	8.28571E-05
25.6M	0.00001	5.35714E-06	0.000085
111.8M	5.51893E-06	2.5472E-06	9.61991E-05
111.8M	5.51893E-06	2.5472E-06	9.61991E-05
111.8M	5.51893E-06	2.5472E-06	9.61991E-05
111.8M	5.51893E-06	2.5472E-06	9.61991E-05
111.8M	5.51893E-06	2.5472E-06	9.61991E-05
