size	GPMeta	GPMetaC	Bowtie2	Bwa	Kraken2	Centrifuge
1.28M	0.997021869	0.999664269	0.941757143	0.999389238	0.907056046	0.995632542
1.28M	0.996829875	0.999621414	0.941857143	0.999474974	0.907181671	0.99524293
1.28M	0.996968445	0.999571412	0.941507143	0.999392827	0.907471551	0.995182775
1.28M	0.996808696	0.999464265	0.941517857	0.999342801	0.907128018	0.995151751
1.28M	0.996869101	0.999589271	0.94135	0.999414254	0.906772466	0.995000117
12.8M	0.996845515	0.999381399	0.94041355	0.999471035	0.901694009	0.995541553
12.8M	0.996840174	0.999497832	0.940293571	0.999447107	0.9014913	0.995482963
12.8M	0.996816747	0.99944033	0.940183571	0.999419606	0.901581646	0.99552895
12.8M	0.996867871	0.999475689	0.940343214	0.999432107	0.901621656	0.995566872
12.8M	0.996887428	0.999510692	0.9403725	0.999435675	0.901679611	0.995449187
25.6M	0.996935516	0.999306743	0.943057363	0.999452098	0.907452556	0.993571605
25.6M	0.996943332	0.999281209	0.943099874	0.999449419	0.907309016	0.993567698
25.6M	0.996905364	0.999404429	0.943121481	0.99943924	0.907538743	0.99355984
25.6M	0.996936787	0.999279243	0.943189874	0.999438703	0.90751106	0.993561355
25.6M	0.996908345	0.999291924	0.943125588	0.999450668	0.907498999	0.993520565
111.8M	0.993182157	0.998737938	0.948177319	0.999493484	0.899322413	0.993086569
111.8M	0.993178637	0.998675102	0.948177319	0.999492804	0.899322413	0.993086569
111.8M	0.993140008	0.998738532	0.948177319	0.999496116	0.899322413	0.993086569
111.8M	0.993200341	0.998619315	0.948177319	0.999494163	0.899322413	0.993086569
111.8M	0.993195564	0.998669074	0.948177319	0.999495861	0.899322413	0.993086569
