size	GPMeta	GPMetaC	Bowtie2	Bwa	Kraken2	Centrifuge
1.28M	0.993955515	0.999614286	0.941757143	0.999389238	0.904396429	0.913492857
1.28M	0.993686842	0.999582143	0.941857143	0.999474974	0.904489286	0.913814286
1.28M	0.993810501	0.999532143	0.941507143	0.999392827	0.904810714	0.914153571
1.28M	0.993704729	0.999425	0.941517857	0.999342801	0.904471429	0.913407143
1.28M	0.993782446	0.999553571	0.94135	0.999414254	0.904003571	0.913289286
12.8M	0.993699577	0.999333929	0.940413214	0.999471035	0.899008571	0.922600357
12.8M	0.993713662	0.999448928	0.940293571	0.999447107	0.898784571	0.922465302
12.8M	0.993684743	0.999392143	0.940183571	0.999419606	0.898933892	0.922453544
12.8M	0.993712253	0.999428214	0.940343214	0.999432107	0.898914214	0.922519945
12.8M	0.993644212	0.999465357	0.9403725	0.999435675	0.898994535	0.922306702
25.6M	0.993738893	0.99925535	0.943057195	0.999452098	0.903751733	0.945749824
25.6M	0.993782124	0.999234278	0.943099874	0.999449419	0.90360975	0.945695886
25.6M	0.993749542	0.999355351	0.943121481	0.99943924	0.903851181	0.9456916
25.6M	0.993815875	0.999229814	0.943189874	0.999438703	0.903801411	0.945694665
25.6M	0.993761641	0.999245171	0.943125588	0.999450668	0.903799931	0.945617492
111.8M	0.985792044	0.998667554	0.948177238	0.999493484	0.89044914	0.961002969
111.8M	0.985811363	0.998604723	0.948177238	0.999492804	0.89044914	0.961002969
111.8M	0.985788494	0.998668148	0.948177238	0.999496116	0.89044914	0.961002969
111.8M	0.985816234	0.998548939	0.948177238	0.999494163	0.89044914	0.961002969
111.8M	0.985821517	0.998598695	0.948177238	0.999495861	0.89044914	0.961002969
