species	GPMeta	Bowtie2	Bwa	Kraken2	Centrifuge	Reported_Proportion
Acinetobacter_radioresistens	0.1277	0.1255	0.0953	0.0433	0.0108	0.1485
Staphylococcus_hominis	0.1305	0.1268	0.0963	0.0624	0.0900	0.1394
Corynebacterium_amycolatum	0.1045	0.0584	0.1052	0.1122	0.0903	0.1226
Staphylococcus_capitis	0.1055	0.0965	0.0877	0.0493	0.0489	0.1162
Cutibacterium_acnes	0.0721	0.0712	0.0661	0.0462	0.0599	0.1100
Rhodococcus_erythropolis	0.0810	0.0358	0.0720	0.0655	0.0388	0.1089
Staphylococcus_warneri	0.0814	0.0804	0.0868	0.0923	0.0787	0.0895
Staphylococcus_epidermidis	0.0861	0.0828	0.0970	0.0486	0.0757	0.0842
Micrococcus_luteus	0.0720	0.0717	0.0690	0.0692	0.0515	0.0732
Others	0.1009	0.2089	0.1839	0.3770	0.4099	0.0076
