length	GPMeta	Bowtie2	Bwa
SE50	0.974101	0.980276	0.995706
SE50	0.973965	0.980358	0.99579
SE50	0.974175	0.980395	0.995686
SE50	0.974006	0.980495	0.995706
SE50	0.974209	0.980322	0.995875
SE65	0.99187	0.991837	0.999522
SE65	0.99171	0.991743	0.999559
SE65	0.991801	0.991862	0.999542
SE65	0.991843	0.991721	0.999521
SE65	0.991748	0.991885	0.999537
SE75	0.996286	0.995947	0.999885
SE75	0.996128	0.99597	0.999914
SE75	0.996222	0.99587	0.99989
SE75	0.99634	0.995932	0.999897
SE75	0.996201	0.995981	0.999902
SE100	0.997788	0.998424	0.999997
SE100	0.997805	0.998423	0.999996
SE100	0.997839	0.998458	1
SE100	0.997772	0.998455	0.999997
SE100	0.997739	0.998419	0.999996
SE150	0.999309	0.99929	1
SE150	0.999296	0.99925	1
SE150	0.999312	0.999309	1
SE150	0.999353	0.999233	1
SE150	0.999232	0.999201	1
