length	GPMeta	Bowtie2	Bwa	Kraken2	Centrifuge
SE50	0.786983373	0.907170267	0.924710314	0.738092857	0.884860714
SE50	0.785220517	0.907640695	0.92484417	0.738653571	0.886110714
SE50	0.787372414	0.90756858	0.925043424	0.738714286	0.886264286
SE50	0.786803796	0.908108359	0.924749821	0.738582143	0.885092857
SE50	0.785988425	0.907914764	0.925623468	0.738539286	0.886489286
SE65	0.924852786	0.930562055	0.937861773	0.827925	0.922935714
SE65	0.924847064	0.930440995	0.936750768	0.828414286	0.924082143
SE65	0.925628812	0.929996285	0.936923924	0.828553571	0.92325
SE65	0.925375748	0.930164854	0.937334873	0.828610714	0.924057143
SE65	0.924782208	0.930206555	0.937738642	0.828210714	0.923321429
SE75	0.950849655	0.937181397	0.942525899	0.852428571	0.9311
SE75	0.950712678	0.937560948	0.94190404	0.851878571	0.931585714
SE75	0.950908104	0.937521433	0.94184138	0.8526	0.931032143
SE75	0.951024943	0.938338989	0.942392482	0.852503571	0.931717857
SE75	0.949680794	0.93800748	0.942611432	0.852578571	0.931689286
SE100	0.970255509	0.948071524	0.950422537	0.877203571	0.946957143
SE100	0.969807372	0.948675361	0.949907342	0.877228571	0.947192857
SE100	0.970338514	0.947995771	0.95015904	0.877357143	0.947471429
SE100	0.970477293	0.948829318	0.950196588	0.877796429	0.947814286
SE100	0.969823291	0.948167225	0.950016994	0.877553571	0.947171429
SE150	0.984894756	0.95775649	0.959627863	0.895721429	0.958825
SE150	0.985070469	0.957893722	0.960131641	0.896053571	0.959353571
SE150	0.984272809	0.958153257	0.959938836	0.896025	0.959203571
SE150	0.985473444	0.958146413	0.960252806	0.896596429	0.959746429
SE150	0.985001911	0.957674339	0.959977513	0.896153571	0.959303571
