name	species	cor	GPMeta	GPMetaC	Bwa
Shigella.case1.1	Shigella	case1	0.785039606	0.79458519	0.774150372
Shigella.case1.2	Shigella	case1	0.785031332	0.79529323	0.764148403
Shigella.case1.3	Shigella	case1	0.785377159	0.796649189	0.775313656
Shigella.case1.4	Shigella	case1	0.785712636	0.795783703	0.773137428
Shigella.case1.5	Shigella	case1	0.784754088	0.794917003	0.774162282
Shigella.case2.1	Shigella	case2	0.165973794	0.223797866	0.205449315
Shigella.case2.2	Shigella	case2	0.166193018	0.223231133	0.2009908
Shigella.case2.3	Shigella	case2	0.165933821	0.224235517	0.202601558
Shigella.case2.4	Shigella	case2	0.165736242	0.223987249	0.203243152
Shigella.case2.5	Shigella	case2	0.165565515	0.22437319	0.201283116
Shigella.case3.1	Shigella	case3	0.23707066	0.298575095	0.312033112
Shigella.case3.2	Shigella	case3	0.238740857	0.300333747	0.309449988
Shigella.case3.3	Shigella	case3	0.23870356	0.300958299	0.313442941
Shigella.case3.4	Shigella	case3	0.238048246	0.298676268	0.310541946
Shigella.case3.5	Shigella	case3	0.239241716	0.299751762	0.311632953
Shigella.case4.1	Shigella	case4	0.343072268	0.362696415	0.374767304
Shigella.case4.2	Shigella	case4	0.345095744	0.365468867	0.356569767
Shigella.case4.3	Shigella	case4	0.340674233	0.360625568	0.363625874
Shigella.case4.4	Shigella	case4	0.345040225	0.365202664	0.358626419
Shigella.case4.5	Shigella	case4	0.343424467	0.364551173	0.419866765
Shigella.con1.1	Shigella	con1	0.381936209	0.406955075	0.412304994
Shigella.con1.2	Shigella	con1	0.383531152	0.408201305	0.410217552
Shigella.con1.3	Shigella	con1	0.38333603	0.408510704	0.414845415
Shigella.con1.4	Shigella	con1	0.383851066	0.40842955	0.434207996
Shigella.con1.5	Shigella	con1	0.382047569	0.407195453	0.41702311
Staphylococcus.case1.1	Staphylococcus	case1	0.970831855	0.986056053	0.94654243
Staphylococcus.case1.2	Staphylococcus	case1	0.971190623	0.986867674	0.946597157
Staphylococcus.case1.3	Staphylococcus	case1	0.97064629	0.986290808	0.946141349
Staphylococcus.case1.4	Staphylococcus	case1	0.97120211	0.986391358	0.946578992
Staphylococcus.case1.5	Staphylococcus	case1	0.971581666	0.985960449	0.946063107
Staphylococcus.case2.1	Staphylococcus	case2	0.963174902	0.973763564	0.903296602
Staphylococcus.case2.2	Staphylococcus	case2	0.963575086	0.974966066	0.903737015
Staphylococcus.case2.3	Staphylococcus	case2	0.963050921	0.974809549	0.903347013
Staphylococcus.case2.4	Staphylococcus	case2	0.963340813	0.974637765	0.903575031
Staphylococcus.case2.5	Staphylococcus	case2	0.963465602	0.973751986	0.902158262
Staphylococcus.case3.1	Staphylococcus	case3	0.842935368	0.927434829	0.540085632
Staphylococcus.case3.2	Staphylococcus	case3	0.843628365	0.929025515	0.539880251
Staphylococcus.case3.3	Staphylococcus	case3	0.842916628	0.92862824	0.54149701
Staphylococcus.case3.4	Staphylococcus	case3	0.842594687	0.928751414	0.541806928
Staphylococcus.case3.5	Staphylococcus	case3	0.842322746	0.927936567	0.54049988
Staphylococcus.case4.1	Staphylococcus	case4	0.948665996	0.970427654	0.916234362
Staphylococcus.case4.2	Staphylococcus	case4	0.95026257	0.971855931	0.91747498
Staphylococcus.case4.3	Staphylococcus	case4	0.949419351	0.971191761	0.916588292
Staphylococcus.case4.4	Staphylococcus	case4	0.950109802	0.971095852	0.917071403
Staphylococcus.case4.5	Staphylococcus	case4	0.949809786	0.971065817	0.916194485
Staphylococcus.con1.1	Staphylococcus	con1	0.931122291	0.959907121	0.827225858
Staphylococcus.con1.2	Staphylococcus	con1	0.932592008	0.96195097	0.827327582
Staphylococcus.con1.3	Staphylococcus	con1	0.930778098	0.960456786	0.827552682
Staphylococcus.con1.4	Staphylococcus	con1	0.931135338	0.960368	0.825569015
Staphylococcus.con1.5	Staphylococcus	con1	0.931785645	0.960294061	0.827301489
Yersinia.case1.1	Yersinia	case1	0.965588136	0.992569378	0.966682695
Yersinia.case1.2	Yersinia	case1	0.965661403	0.992554838	0.980415385
Yersinia.case1.3	Yersinia	case1	0.96651064	0.992409078	0.980322926
Yersinia.case1.4	Yersinia	case1	0.964768291	0.992185274	0.979876768
Yersinia.case1.5	Yersinia	case1	0.964906878	0.992139079	0.980023077
Yersinia.case2.1	Yersinia	case2	0.967181675	0.985712745	0.978053677
Yersinia.case2.2	Yersinia	case2	0.967136367	0.986024486	0.978315385
Yersinia.case2.3	Yersinia	case2	0.967458264	0.985923736	0.978476758
Yersinia.case2.4	Yersinia	case2	0.96651392	0.985413377	0.978192308
Yersinia.case2.5	Yersinia	case2	0.966653831	0.985529457	0.978169231
Yersinia.case3.1	Yersinia	case3	0.842760033	0.99231699	0.973046154
Yersinia.case3.2	Yersinia	case3	0.842251548	0.992162237	0.973753846
Yersinia.case3.3	Yersinia	case3	0.843049707	0.992378812	0.973015177
Yersinia.case3.4	Yersinia	case3	0.842267359	0.991876992	0.972222863
Yersinia.case3.5	Yersinia	case3	0.842172932	0.991869981	0.973223077
Yersinia.case4.1	Yersinia	case4	0.952923954	0.979405193	0.967438462
Yersinia.case4.2	Yersinia	case4	0.953364762	0.979863807	0.968176923
Yersinia.case4.3	Yersinia	case4	0.953659269	0.980111076	0.967984369
Yersinia.case4.4	Yersinia	case4	0.953840228	0.980417533	0.968330769
Yersinia.case4.5	Yersinia	case4	0.953698497	0.980357872	0.968423077
Yersinia.con1.1	Yersinia	con1	0.931816081	0.986876155	0.974392308
Yersinia.con1.2	Yersinia	con1	0.932044292	0.987063389	0.974638462
Yersinia.con1.3	Yersinia	con1	0.932084886	0.986871285	0.974145955
Yersinia.con1.4	Yersinia	con1	0.931668361	0.986885069	0.974461342
Yersinia.con1.5	Yersinia	con1	0.932278832	0.987000986	0.973907692
