name	species	cor	GPMeta	GPMetaC	Bwa
Shigella.case1.1	Shigella	case1	0.784453846	0.793992308	0.774138462
Shigella.case1.2	Shigella	case1	0.784415385	0.794669231	0.764130769
Shigella.case1.3	Shigella	case1	0.784646154	0.795907692	0.775307692
Shigella.case1.4	Shigella	case1	0.784969231	0.795030769	0.773107692
Shigella.case1.5	Shigella	case1	0.784053846	0.794207692	0.774138462
Shigella.case2.1	Shigella	case2	0.165838462	0.223615385	0.205446154
Shigella.case2.2	Shigella	case2	0.165992308	0.222961538	0.200984615
Shigella.case2.3	Shigella	case2	0.165753846	0.223992308	0.2026
Shigella.case2.4	Shigella	case2	0.165569231	0.223761538	0.203238462
Shigella.case2.5	Shigella	case2	0.165392308	0.224138462	0.201276923
Shigella.case3.1	Shigella	case3	0.236638462	0.298030769	0.311992308
Shigella.case3.2	Shigella	case3	0.238261538	0.299730769	0.3094
Shigella.case3.3	Shigella	case3	0.238169231	0.300284615	0.313392308
Shigella.case3.4	Shigella	case3	0.237515385	0.298007692	0.310484615
Shigella.case3.5	Shigella	case3	0.238715385	0.299092308	0.311553846
Shigella.case4.1	Shigella	case4	0.342784615	0.362392308	0.374761538
Shigella.case4.2	Shigella	case4	0.344769231	0.365123077	0.356561538
Shigella.case4.3	Shigella	case4	0.340323077	0.360253846	0.363623077
Shigella.case4.4	Shigella	case4	0.344761538	0.364907692	0.358615385
Shigella.case4.5	Shigella	case4	0.343115385	0.364223077	0.419853846
Shigella.con1.1	Shigella	con1	0.381530769	0.406523077	0.412292308
Shigella.con1.2	Shigella	con1	0.383038462	0.407676923	0.410192308
Shigella.con1.3	Shigella	con1	0.382784615	0.407923077	0.414823077
Shigella.con1.4	Shigella	con1	0.383346154	0.407892308	0.434184615
Shigella.con1.5	Shigella	con1	0.381553846	0.406669231	0.416984615
Staphylococcus.case1.1	Staphylococcus	case1	0.968307692	0.983492308	0.945523077
Staphylococcus.case1.2	Staphylococcus	case1	0.9688	0.984438462	0.945592308
Staphylococcus.case1.3	Staphylococcus	case1	0.968361538	0.983969231	0.945246154
Staphylococcus.case1.4	Staphylococcus	case1	0.968938462	0.984092308	0.945661538
Staphylococcus.case1.5	Staphylococcus	case1	0.969376923	0.983723077	0.945146154
Staphylococcus.case2.1	Staphylococcus	case2	0.960707692	0.971269231	0.902330769
Staphylococcus.case2.2	Staphylococcus	case2	0.961084615	0.972446154	0.902784615
Staphylococcus.case2.3	Staphylococcus	case2	0.960769231	0.9725	0.902492308
Staphylococcus.case2.4	Staphylococcus	case2	0.960976923	0.972246154	0.902692308
Staphylococcus.case2.5	Staphylococcus	case2	0.961138462	0.9714	0.901276923
Staphylococcus.case3.1	Staphylococcus	case3	0.831276923	0.914607692	0.535615385
Staphylococcus.case3.2	Staphylococcus	case3	0.831953846	0.916169231	0.535461538
Staphylococcus.case3.3	Staphylococcus	case3	0.831530769	0.916084615	0.537069231
Staphylococcus.case3.4	Staphylococcus	case3	0.830830769	0.915784615	0.537330769
Staphylococcus.case3.5	Staphylococcus	case3	0.831061538	0.915530769	0.536138462
Staphylococcus.case4.1	Staphylococcus	case4	0.943630769	0.965276923	0.914338462
Staphylococcus.case4.2	Staphylococcus	case4	0.945138462	0.966615385	0.915315385
